target,gold_n,gold_positives,gold_negatives,resolved_n,coverage,precision,recall,f1,tp,tn,fp,fn,unknown,uncertain
ACL,58,24,34,43,0.7413793103448276,0.7857142857142857,1.0,0.88,22,15,6,0,13,2
MCL,58,9,49,40,0.6896551724137931,0.4166666666666667,1.0,0.5882352941176471,5,28,7,0,17,1
Medial Meniscus,58,26,32,45,0.7758620689655172,0.8,1.0,0.888888888888889,24,15,6,0,12,1
Lateral Meniscus,58,23,35,41,0.7068965517241379,0.7307692307692307,0.9047619047619048,0.8085106382978723,19,13,7,2,15,2
Medial OA,58,15,43,20,0.3448275862068966,0.75,0.9,0.8181818181818182,9,7,3,1,38,0
Lateral OA,58,11,47,15,0.25862068965517243,0.7,1.0,0.8235294117647058,7,5,3,0,43,0
PF OA,58,21,37,23,0.39655172413793105,0.6666666666666666,0.8888888888888888,0.761904761904762,8,10,4,1,35,0
Effusion,58,35,23,52,0.896551724137931,0.6875,1.0,0.8148148148148148,33,4,15,0,6,0
Synovitis,58,27,31,15,0.25862068965517243,0.7333333333333333,1.0,0.846153846153846,11,0,4,0,43,0
Baker's,58,12,46,23,0.39655172413793105,0.6875,1.0,0.8148148148148148,11,7,5,0,35,0
Contusion,58,19,39,21,0.3620689655172414,0.6875,0.9166666666666666,0.7857142857142857,11,4,5,1,36,1
Fracture,58,18,40,24,0.41379310344827586,0.7058823529411765,1.0,0.8275862068965517,12,7,5,0,34,0
