target,gold_n,gold_positives,gold_negatives,resolved_n,coverage,precision,recall,f1,tp,tn,fp,fn,unknown,uncertain
ACL,58,24,34,27,0.46551724137931033,0.7894736842105263,1.0,0.8823529411764706,15,8,4,0,31,0
MCL,58,9,49,23,0.39655172413793105,0.5555555555555556,1.0,0.7142857142857143,5,14,4,0,34,1
Medial Meniscus,58,26,32,31,0.5344827586206896,0.8421052631578947,1.0,0.9142857142857143,16,12,3,0,27,0
Lateral Meniscus,58,23,35,26,0.4482758620689655,0.8571428571428571,0.9230769230769231,0.888888888888889,12,11,2,1,30,2
Medial OA,58,15,43,10,0.1724137931034483,0.8,0.8,0.8000000000000002,4,4,1,1,48,0
Lateral OA,58,11,47,10,0.1724137931034483,0.5714285714285714,1.0,0.7272727272727273,4,3,3,0,48,0
PF OA,58,21,37,16,0.27586206896551724,0.3333333333333333,0.6666666666666666,0.4444444444444444,2,9,4,1,42,0
Effusion,58,35,23,46,0.7931034482758621,0.6428571428571429,1.0,0.782608695652174,27,4,15,0,12,0
Synovitis,58,27,31,14,0.2413793103448276,0.7142857142857143,1.0,0.8333333333333333,10,0,4,0,44,0
Baker's,58,12,46,14,0.2413793103448276,0.6666666666666666,1.0,0.8,8,2,4,0,44,0
Contusion,58,19,39,15,0.25862068965517243,0.6666666666666666,0.75,0.7058823529411765,6,4,3,2,42,1
Fracture,58,18,40,20,0.3448275862068966,0.7857142857142857,1.0,0.88,11,6,3,0,38,0
