language_group,studies,gold_studies,mean_report_chars,positive,negative,uncertain,unknown,resolved_rate
cyrillic_script,220,3,1089.2954545454545,438,522,0,1680,0.36363636363636365
dutch,153,2,941.2679738562091,378,414,8,1036,0.43137254901960786
english,1724,28,1359.5475638051043,4797,6694,177,9020,0.5554427687548337
french,80,0,1743.225,260,254,2,444,0.5354166666666667
german,259,2,851.2316602316603,437,722,10,1939,0.3729086229086229
greek_script,321,3,962.4890965732087,828,401,0,2623,0.31905503634475596
latin_other,22,0,952.0,43,83,0,138,0.4772727272727273
south_slavic,403,4,1184.6625310173697,1183,1073,69,2511,0.4665012406947891
spanish,678,10,793.1784660766962,1261,2021,17,4837,0.4033923303834808
turkish,547,6,742.0968921389397,1493,992,11,4068,0.3785801340645948
