language_group,target,positive,negative,uncertain,unknown,pairs,resolved,resolved_rate,language_coverage_rank,target_coverage_rank
greek_script,Synovitis,29,0,0,292,321,29,0.09034267912772585,1,1
greek_script,Contusion,52,0,0,269,321,52,0.16199376947040497,1,2
greek_script,Fracture,43,2,0,276,321,45,0.14018691588785046,1,3
greek_script,Lateral OA,28,12,0,281,321,40,0.12461059190031153,1,4
greek_script,Medial OA,50,9,0,262,321,59,0.1838006230529595,1,5
greek_script,Baker's,105,0,0,216,321,105,0.32710280373831774,1,6
greek_script,PF OA,54,8,0,259,321,62,0.19314641744548286,1,7
greek_script,ACL,59,85,0,177,321,144,0.4485981308411215,1,8
greek_script,MCL,14,120,0,187,321,134,0.4174454828660436,1,9
greek_script,Lateral Meniscus,55,74,0,192,321,129,0.40186915887850466,1,10
greek_script,Medial Meniscus,123,57,0,141,321,180,0.5607476635514018,1,11
greek_script,Effusion,216,34,0,71,321,250,0.778816199376947,1,12
cyrillic_script,Synovitis,1,0,0,219,220,1,0.004545454545454545,2,1
cyrillic_script,Contusion,19,0,0,201,220,19,0.08636363636363636,2,2
cyrillic_script,Fracture,13,9,0,198,220,22,0.1,2,3
cyrillic_script,Lateral OA,1,3,0,216,220,4,0.01818181818181818,2,4
cyrillic_script,Medial OA,4,1,0,215,220,5,0.022727272727272728,2,5
cyrillic_script,Baker's,53,0,0,167,220,53,0.2409090909090909,2,6
cyrillic_script,PF OA,10,50,0,160,220,60,0.2727272727272727,2,7
cyrillic_script,ACL,37,150,0,33,220,187,0.85,2,8
cyrillic_script,MCL,0,118,0,102,220,118,0.5363636363636364,2,9
cyrillic_script,Lateral Meniscus,24,96,0,100,220,120,0.5454545454545454,2,10
cyrillic_script,Medial Meniscus,142,20,0,58,220,162,0.7363636363636363,2,11
cyrillic_script,Effusion,134,75,0,11,220,209,0.95,2,12
german,Synovitis,13,1,0,245,259,14,0.05405405405405406,3,1
german,Contusion,33,41,0,185,259,74,0.2857142857142857,3,2
german,Fracture,2,48,0,209,259,50,0.19305019305019305,3,3
german,Lateral OA,15,14,0,230,259,29,0.11196911196911197,3,4
german,Medial OA,24,8,0,227,259,32,0.12355212355212356,3,5
german,Baker's,67,3,0,189,259,70,0.2702702702702703,3,6
german,PF OA,75,57,0,127,259,132,0.5096525096525096,3,7
german,ACL,3,152,0,104,259,155,0.5984555984555985,3,8
german,MCL,5,129,1,124,259,134,0.5173745173745173,3,9
german,Lateral Meniscus,28,135,4,92,259,163,0.6293436293436293,3,10
german,Medial Meniscus,60,87,5,107,259,147,0.5675675675675675,3,11
german,Effusion,112,47,0,100,259,159,0.6138996138996139,3,12
turkish,Synovitis,26,0,0,521,547,26,0.04753199268738574,4,1
turkish,Contusion,28,0,2,517,547,28,0.051188299817184646,4,2
turkish,Fracture,16,0,4,527,547,16,0.029250457038391225,4,3
turkish,Lateral OA,31,0,0,516,547,31,0.056672760511883,4,4
turkish,Medial OA,63,0,0,484,547,63,0.11517367458866545,4,5
turkish,Baker's,58,0,0,489,547,58,0.10603290676416818,4,6
turkish,PF OA,100,6,0,441,547,106,0.19378427787934185,4,7
turkish,ACL,180,52,2,313,547,232,0.42413162705667273,4,8
turkish,MCL,101,409,0,37,547,510,0.9323583180987203,4,9
turkish,Lateral Meniscus,192,284,2,69,547,476,0.870201096892139,4,10
turkish,Medial Meniscus,366,112,1,68,547,478,0.8738574040219378,4,11
turkish,Effusion,332,129,0,86,547,461,0.8427787934186471,4,12
spanish,Synovitis,102,4,0,572,678,106,0.15634218289085547,5,1
spanish,Contusion,37,0,0,641,678,37,0.05457227138643068,5,2
spanish,Fracture,52,6,2,618,678,58,0.0855457227138643,5,3
spanish,Lateral OA,74,181,0,423,678,255,0.37610619469026546,5,4
spanish,Medial OA,91,171,0,416,678,262,0.3864306784660767,5,5
spanish,Baker's,88,251,5,334,678,339,0.5,5,6
spanish,PF OA,85,197,0,396,678,282,0.415929203539823,5,7
spanish,ACL,53,293,1,331,678,346,0.5103244837758112,5,8
spanish,MCL,43,276,1,358,678,319,0.47050147492625366,5,9
spanish,Lateral Meniscus,124,251,2,301,678,375,0.5530973451327433,5,10
