language_group,studies,gold_studies,mean_report_chars,positive,negative,uncertain,unknown,resolved_rate
cyrillic_script,220,3,1089.2954545454545,166,87,0,2387,0.09583333333333334
dutch,153,2,941.2679738562091,245,83,5,1503,0.1786492374727669
english,1465,24,1499.1351535836177,3878,5944,133,7625,0.558703071672355
french,80,0,1743.225,224,146,2,588,0.3854166666666667
german,255,2,849.8509803921569,219,197,2,2642,0.13594771241830064
greek_script,321,3,962.4890965732087,381,60,0,3411,0.11448598130841121
latin_other,368,5,748.2065217391304,587,284,29,3516,0.1972373188405797
south_slavic,321,3,1167.9283489096574,272,224,3,3353,0.12876427829698858
spanish,678,10,793.1784660766962,1005,434,18,6679,0.17686823992133727
turkish,546,6,742.5439560439561,547,864,5,5136,0.21535409035409037
